	word	label_int
64976	indomitable	6
116105	small	5
30132	crusty	2
58025	harm	5
110114	save	4
31073	cyst	3
127971	time	1
31407	danger	7
47855	fatigued	5
82804	nap	4
58272	hateful	2
92185	pertussis	5
62343	illegality	3
119125	squatter	5
106299	respects	9
97766	proctor	6
13325	blob	5
104325	rejects	5
76079	majesty	9
7807	assassin	7
42554	enchanted	4
58030	harmful	0
122627	suffering	7
2386	adventurous	6
39762	drool	2
41509	elect	9
2316	advancement	6
139167	weep	7
98136	progression	6
109459	salary	9
95742	powerful	2
91055	penal	5
87304	orgasm	4
22459	coalesce	9
52645	frustrated	5
125743	teasing	3
38090	distressing	0
11559	befriend	9
138589	warranty	9
86231	olfactory	1
25499	confidence	9
86830	oppress	0
115163	skid	3
18142	carelessness	2
40616	earnestly	6
55646	graduation	6
134762	unthinkable	2
15055	breakdown	5
26652	contagion	2
39259	downright	9
112191	sentence	1
114705	sin	5
74485	lockup	5
48038	feat	8
34266	designer	6
28471	countdown	1
98121	progress	1
11896	benefactor	6
120567	stingy	7
74325	loathing	5
46496	exquisitely	6
85420	obscenity	0
5401	announcement	1
60813	horrified	3
68710	ire	0
137892	vomit	2
23377	coma	7
101214	radiant	4
34050	derogation	0
78479	mentor	9
81045	monster	5
119085	squall	5
95829	practiced	9
125725	tease	5
41282	egregious	2
97915	profane	5
82200	murder	0
123546	surety	6
124544	sympathetic	4
31290	damn	0
71262	lagging	2
69876	journey	6
89507	paralyzed	7
131295	turbulence	5
124296	swift	6
133466	uniformly	6
13276	blissful	6
20301	cheer	1
28599	county	9
105525	repression	5
68885	irreparable	5
5203	anguish	3
130428	trickery	8
82472	mutilated	2
19159	celebration	9
30010	cruelly	0
50280	fluctuation	0
1160	accuser	0
32782	deform	2
13092	bleeding	2
13775	bogus	5
88803	pain	3
124547	sympathetic	7
29582	criminal	2
12218	bewildered	8
29006	cradle	6
95918	pray	8
133656	unique	6
18630	casualty	0
104393	relapse	3
93086	pill	6
62380	illicit	0
97209	priesthood	9
130065	treachery	5
64949	indivisible	9
67975	intestate	5
76215	malice	5
77306	masterpiece	6
75365	lumpy	5
1999	admirable	9
128447	tolerate	7
112047	senile	7
123206	superman	6
97487	prison	7
101380	raging	0
60221	holiness	1
12390	bigoted	0
48082	fecal	2
70557	kidnap	7
14594	bouquet	4
80245	mistrust	5
30536	curable	6
123186	superiority	6
110355	scapegoat	5
23005	colic	5
132115	unavoidable	5
39491	dread	1
104209	reinforcement	9
117866	special	6
1153	accused	3
128456	toleration	6
98124	progress	4
49471	fitting	1
68925	irresponsible	5
82010	mule	0
131536	twin	6
85256	objective	6
5683	anthrax	3
50157	flop	7
98366	promise	6
91833	pernicious	3
141222	wrongful	2
62305	ignore	5
43	abandonment	3
92934	picturesque	4
53415	gaol	5
127393	threatening	3
124109	swear	9
105086	renovation	6
139857	widower	7
116145	smashed	5
122071	subscribe	1
75392	lunatic	2
67499	intercession	9
106991	revenge	1
140997	wreck	7
45129	exaltation	9
33865	depreciation	5
9694	baby	4
84855	nullify	5
34355	despair	5
34525	destruction	5
49324	firstborn	4
66036	inheritance	6
26763	contempt	3
81469	mortgagee	9
52632	frustrate	2
41001	edification	1
95971	precarious	1
63566	improvement	6
60266	homage	6
101590	rampage	0
120565	stingy	5
13893	bombard	3
95005	pop	5
83703	neuralgia	3
31695	dazed	5
119153	squeamish	3
102926	reconciliation	6
64553	incursion	3
99386	prudence	6
33607	depart	7
109604	salvation	4
17363	campaigning	3
140408	wizard	8
21590	clash	0
84865	numb	5
19171	celestial	1
134865	untrue	5
131869	umpire	9
17955	captivity	5
83136	navigable	6
31529	darling	9
46736	extraordinary	6
117325	soot	5
55993	grave	3
93139	pilot	9
7788	assail	8
66496	inquirer	6
49455	fits	5
74673	loneliness	3
110893	scourge	3
25643	conflagration	3
26206	conserve	6
99907	punished	7
63326	importance	6
132422	unconscionable	2
112171	sensuality	1
76635	manipulation	5
1546	acuity	6
37227	dismemberment	7
3115	aghast	5
102410	rebel	0
2224	adore	4
109486	salient	6
20999	chuckle	9
74865	loot	5
64317	incompetent	7
63775	inadmissible	5
85365	oblivion	5
77966	mediate	6
56352	grime	2
77056	marrow	6
3705	alienation	5
95828	practiced	8
71115	labyrinth	5
83591	nervous	1
118410	spine	0
93136	pilot	6
58956	hedonism	6
56425	grisly	5
16966	cafe	6
56987	guillotine	7
109863	sarcoma	3
47621	farm	1
34886	develop	6
30943	cutthroat	3
121417	stripped	7
97207	priesthood	7
86505	ooze	5
43869	equality	9
53290	gallows	0
92252	perverted	2
5756	antidote	6
22869	cohesive	9
78373	menacing	3
23511	comfort	1
117879	specialist	9
118535	spiteful	5
73234	liberation	4
50125	flog	5
139547	whine	7
91339	perceive	9
131697	tyranny	7
45442	excluded	2
4953	anarchism	3
50775	fool	5
76006	maiden	6
65115	inefficiency	5
66776	inspector	6
833	accidental	3
8316	astute	6
12245	biased	5
52035	fray	5
34190	deserve	0
74948	lose	8
60519	honorable	9
37450	displaced	0
37072	disintegrate	2
136816	veteran	6
92622	phony	2
46197	expire	7
31415	dangerous	5
94587	poisonous	7
70553	kidnap	3
57955	hardness	5
64950	indoctrination	0
70577	killing	7
13097	bleeding	7
24218	compensate	8
34867	devastating	7
2501	advocacy	1
13400	bloodthirsty	0
26226	considerate	6
55535	grab	5
96746	presence	6
37480	displeased	0
37653	disrespectful	3
46277	explode	7
39503	dreadful	3
31173	daemon	3
36932	disgust	2
64275	income	5
82608	mystic	8
47865	fatty	5
2840	affront	0
99379	proxy	9
9923	badness	3
13545	blunder	5
123492	suppression	2
126991	thermocouple	1
33122	delinquent	2
33641	depend	1
62651	immature	1
38942	donkey	2
113722	shoplifting	2
10495	barbarism	5
110706	scientist	6
20546	child	6
47419	familiarity	9
59514	heroic	4
132278	uncertain	8
11504	beer	4
33335	demon	5
94779	poll	9
33277	dementia	7
69000	irritating	0
109875	sardonic	5
119936	status	6
96601	preparation	1
92399	phalanx	9
75524	luster	4
122535	sucker	5
16142	bummer	2
36432	disclaim	2
25839	congregation	9
76805	mar	5
120309	sterling	9
32247	decomposed	7
3236	agreeing	6
59519	heroic	9
134976	unwavering	6
68365	invalidation	5
76485	mangle	5
98661	prophecy	1
112875	shackle	5
22029	climax	9
137273	violent	3
134573	unsettled	3
57900	harbinger	0
45596	exemplary	6
50086	flirt	6
87102	orc	2
95831	practise	1
64540	incurable	0
7025	argue	5
26352	conspirator	2
1655	adder	5
112572	servile	2
106895	retrograde	5
103995	regret	5
83665	nether	5
44808	evanescence	8
25616	confirmed	6
42015	embezzlement	5
19535	cessation	5
34053	derogation	3
81297	morbid	7
75535	lustful	5
66583	insecure	3
