	word	label_int
44504	esteem	4
18991	cautious	1
9262	autopsy	2
22529	coax	7
18043	carcinoma	3
25499	confidence	7
41670	elf	0
23749	commission	7
61214	hug	4
109984	satisfied	4
25202	condemnation	2
49450	fits	0
110320	scandalous	0
76064	majestic	4
21024	church	4
51343	forgotten	3
106543	restriction	3
113193	shatter	3
4823	anaconda	3
51387	forlorn	5
5272	animosity	2
124123	sweat	3
106464	restorative	4
60271	homeless	1
91860	perpetrator	0
17199	calls	7
82227	murderous	5
118520	spite	0
54891	glorify	1
10742	barrow	2
6459	appreciation	7
52721	fulfillment	1
72679	legislator	7
56142	greed	2
136312	venom	2
114210	sickening	0
117582	sour	2
65687	infliction	5
111003	screech	3
29343	creature	3
44507	esteem	5
48524	fete	4
34322	desist	2
92280	pest	0
15384	brilliant	4
104327	rejects	5
111807	segregate	5
97591	probation	1
128990	toughness	0
29264	cream	4
136978	victimized	6
124633	syncope	3
52000	fraud	0
39129	doubt	7
54054	generosity	4
89967	parting	5
24421	completion	1
21500	clamor	0
2893	afraid	3
36592	discord	2
127484	thriving	4
9067	austere	5
132262	uncaring	2
133151	unexplained	1
137404	virtuous	4
105662	repulsion	2
39204	dove	4
69871	journey	1
49219	fireman	7
18032	carcass	2
69482	jealousy	2
51230	forfeit	0
52294	friendship	4
22693	coerce	3
62982	impeach	2
35609	dignity	7
37622	disreputable	2
75780	madness	0
8780	attorney	0
37850	dissonance	0
116082	sly	2
138501	warn	1
52160	frenetic	0
20308	cheer	6
47130	failing	0
96801	preservative	1
57098	gulp	6
97073	prevent	3
67467	intercede	5
3702	alienation	2
40192	dung	2
90939	pedigree	7
88681	paddle	1
71497	landslide	5
107327	rheumatism	5
109852	sarcasm	2
91687	perished	5
105270	repellent	0
65490	inferno	0
13093	bleeding	3
116022	slum	2
137561	visitor	1
52693	fugitive	3
120088	stealthy	6
40993	edict	3
124872	taboo	2
95829	practiced	7
827	accident	5
64582	indecent	2
50253	flu	3
106571	resultant	1
66753	insolvent	3
13347	blockade	5
60647	hopeless	5
42912	enemy	2
117523	soulless	3
136519	verification	7
117099	solidarity	7
92904	picnic	4
33230	demand	0
79401	mill	1
119328	stagger	6
127810	tiff	0
1229	achieve	7
75362	lumpy	2
39209	dove	7
33887	depressed	5
170	abhor	0
88822	painful	2
124033	swampy	3
137323	viper	3
32743	deflation	3
32992	deleterious	2
101700	rape	0
26702	contamination	2
110002	saturated	2
85308	obliging	6
40369	dutiful	7
2504	advocacy	4
56472	groan	2
36197	disappointment	5
133607	uninterested	5
34800	detract	0
74948	lose	6
69991	judiciary	1
87001	oracle	1
100073	purge	3
136742	vesicular	2
55178	godsend	6
13032	blatant	2
408	abrupt	6
32252	decomposition	2
73332	lie	2
67697	interment	5
72397	leave	5
25201	condemnation	1
95392	possession	2
91587	perilous	5
48420	ferocious	0
52897	funk	5
82930	nasty	0
119180	squelch	0
137389	virtue	7
3672	alien	2
141679	zeal	7
49917	fleece	5
109674	sanctify	4
40919	economy	7
137341	virginity	1
59468	hermaphrodite	6
20210	cheat	0
82441	mutable	1
65312	infamous	2
124083	swastika	3
114237	sickly	5
30007	cruel	5
47133	failing	3
60629	hope	7
11369	beautification	7
134572	unsettled	2
117304	sonnet	4
71884	laugh	4
130098	treason	6
138011	voyage	1
45003	evil	3
101380	raging	0
68347	invalid	5
97643	problem	3
28192	corruption	2
68053	intimidate	3
4993	anathema	3
24829	comrade	7
113890	shove	0
134271	unpublished	1
48709	fidelity	7
24632	compost	2
72574	legalized	4
55644	graduation	4
46484	exquisite	4
123503	supremacy	3
117037	soldier	5
125442	tarnish	2
57432	hairy	2
82003	mug	3
59501	hero	1
76183	malevolent	3
20564	childhood	4
71788	latent	6
111249	seals	7
137201	vindication	1
34483	destitute	3
43281	enroll	1
56449	grit	7
34352	despair	2
35911	diplomacy	1
22021	climax	1
140249	wisdom	7
2009	admiral	7
123688	surprisingly	6
30067	crumbling	5
97160	prick	0
21590	clash	0
38903	dominion	3
38072	distress	2
75209	loyalty	7
138191	wait	1
37247	dismissal	5
66230	injustice	0
61983	hysterical	3
140970	wreak	0
17437	cancer	5
64680	indenture	0
38148	disturbance	6
126030	tempest	0
74483	lockup	3
63980	incendiary	0
823	accident	3
67711	intermission	1
34173	deserted	3
14497	bottom	5
14594	bouquet	4
55308	goodness	6
31893	debauchery	3
42804	endless	4
82842	nappy	2
113012	sham	2
31590	dastardly	0
69017	irritation	5
45543	executioner	3
58023	harm	3
47211	faith	1
117522	soulless	2
138287	wallow	5
81260	morals	0
48147	feeble	5
91190	penitentiary	0
107710	ringer	0
17407	cancel	5
61377	humiliate	5
67029	instructor	7
137014	victory	4
124557	sympathize	5
60843	horrors	3
37248	dismissal	6
46328	explosive	6
130371	tribunal	1
135181	uprising	1
100001	puppy	1
18269	carol	7
53029	fuse	7
55262	goo	2
105282	repelling	2
40300	duress	0
110770	scold	0
2848	affront	6
138483	warlock	3
1472	actionable	2
56164	green	4
68710	ire	0
18730	catastrophe	0
118927	sprain	5
84591	notification	1
76210	malice	0
76749	manual	7
23617	commemorate	5
24249	competence	7
16337	burial	5
44060	eradicate	0
61340	humbug	0
27689	cooperating	7
37260	disobedience	0
104323	rejects	3
31392	dandy	2
124948	tackle	6
7813	assassinate	3
86904	optimism	4
66042	inhibit	2
40437	dying	5
41957	embarrassment	5
112327	sepsis	5
86407	onerous	5
65351	infanticide	1
139504	whim	4
113000	shaky	0
134277	unpublished	5
37512	dispose	2
66781	inspiration	1
63962	incarceration	2
134832	untoward	2
84081	nobility	1
57919	harbor	7
46131	experiment	1
47319	falsehood	7
29633	cripple	3
86231	olfactory	1
136310	venom	0
32018	deceit	6
37838	dissolution	6
13218	blindfold	6
61392	humiliation	2
53151	gain	1
56959	guidebook	7
132488	uncontrollable	6
37783	dissident	3
126038	tempest	6
95369	possess	7
69919	joyful	7
102053	razor	3
78180	melodrama	0
64239	inclusion	7
72902	lesbian	2
135797	vanished	5
23413	combatant	3
12683	birch	3
26161	conservation	1
23869	commonwealth	7
137079	vigilant	7
25458	confession	6
124940	tackle	0
37772	disservice	2
28749	courtship	7
6119	apostle	7
128780	torpedo	0
132278	uncertain	6
106060	resistance	0
138110	waffle	0
9169	authorize	7
69533	jeopardize	3
110992	screaming	2
136414	veracity	4
138460	warfare	0
132151	unbeaten	1
127188	thirst	6
127734	tickle	4
72070	lawyer	0
55271	good	1
13927	bomber	5
10401	banquet	1
33949	deputy	7
75683	mace	3
65423	infection	3
611	abundance	1
61370	humiliate	0
86730	opponent	0
67363	intense	3
10482	barbaric	2
15903	bug	3
122590	sue	0
121412	stripped	2
64189	incline	7
60933	hospital	3
36027	disability	5
104703	remains	3
75637	lynch	5
47934	favorite	4
26029	connoisseur	7
130780	troublesome	0
62739	immerse	7
107029	revere	7
112872	shackle	2
132097	unattractive	5
28459	counselor	7
60307	homesick	5
33723	deplorable	3
129937	trash	5
34951	devil	1
122451	successful	1
83072	nausea	2
91950	persecute	0
116363	smuggle	3
32247	decomposed	5
75248	lucky	6
29817	cross	5
82550	myopia	0
132231	unbridled	1
109857	sarcasm	5
13159	blessing	7
116568	sneeze	6
60443	honest	3
34177	deserted	5
31853	death	3
52250	friction	0
100898	quickness	6
113719	shopkeeper	7
9920	badness	0
23624	commemoration	4
9537	awful	5
19837	chaos	5
100503	quake	3
2293	advance	3
9109	authentication	7
102020	raving	0
35049	devotional	7
58707	heartache	5
34167	desert	5
87903	outsider	3
36877	disgrace	5
27299	convent	7
83487	negro	5
13050	blaze	0
83360	negation	0
64973	indomitable	3
11790	bellows	0
65152	inept	2
78227	meltdown	5
75393	lunatic	3
23631	commemorative	1
66073	inhuman	3
82482	mutilation	2
22789	cogent	7
75737	mad	5
91469	perfection	7
45153	examination	3
123064	sunny	4
121053	stranger	3
